TimeStep,Elapsed_us,L_Gait_Index,R_Gait_Index,RH_0,RH_1,RH_2,RH_3,RH_4,RH_5,RH_6,RH_7,RK_0,RK_1,RK_2,RK_3,RK_4,RK_5,RK_6,RK_7,LK_0,LK_1,LK_2,LK_3,LK_4,LK_5,LK_6,LK_7,LH_0,LH_1,LH_2,LH_3,LH_4,LH_5,LH_6,LH_7
0,10011361,0,50,255,232,0,2,0,123,35,0,0,172,0,0,0,93,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10022728,0,50,0,29,255,240,0,106,35,0,0,23,255,252,0,51,30,0,255,194,0,49,0,112,30,0,255,254,0,3,0,0,35,0
10,10033728,0,50,0,29,255,240,0,106,35,0,0,23,255,252,0,51,30,0,255,194,0,49,0,112,30,0,255,254,0,3,0,0,35,0
15,10044728,0,50,0,26,255,218,0,133,35,0,0,23,255,253,0,103,30,0,255,203,0,116,0,182,31,0,255,254,255,246,0,13,35,0
20,10055728,0,50,0,26,255,218,0,133,35,0,0,23,255,253,0,103,30,0,255,203,0,116,0,182,31,0,255,254,255,246,0,13,35,0
25,10066728,0,50,0,26,255,254,0,148,35,0,0,23,0,3,0,89,30,0,255,210,0,133,0,43,31,0,255,253,255,247,0,5,35,0
30,10077832,0,50,0,26,255,254,0,148,35,0,0,23,0,3,0,65,30,0,255,210,0,133,0,43,31,0,255,253,255,247,0,5,35,0
35,10088728,0,50,0,26,255,253,0,151,35,0,0,23,0,3,0,65,30,0,255,220,0,148,0,15,30,0,255,249,255,199,255,239,35,0
40,10099945,0,50,0,26,255,253,0,151,35,0,0,23,0,0,0,49,30,0,255,227,0,101,0,4,31,0,255,246,255,202,255,244,35,0
45,10110728,0,50,0,25,255,243,0,120,36,0,0,23,0,0,0,49,30,0,255,227,0,101,0,4,31,0,255,246,255,202,255,244,35,0
50,10121831,0,50,0,24,255,254,0,153,36,0,0,23,0,0,0,26,30,0,255,233,0,89,255,243,31,0,255,243,255,206,255,255,35,0
55,10132728,0,50,0,24,255,254,0,153,36,0,0,23,0,0,0,26,30,0,255,233,0,89,255,243,31,0,255,243,255,206,255,255,35,0
60,10143728,0,50,0,24,255,252,0,155,36,0,0,23,0,3,255,249,30,0,255,236,0,43,0,0,30,0,255,240,255,228,0,65,35,0
65,10154728,0,50,0,24,255,252,0,155,36,0,0,23,0,3,255,249,30,0,255,236,0,43,0,0,30,0,255,240,255,228,0,65,35,0
70,10165728,0,50,0,23,255,223,0,108,36,0,0,23,0,1,255,239,30,0,255,237,0,18,255,255,30,0,255,241,255,255,0,90,35,0
75,10176836,0,50,0,23,255,223,0,108,36,0,0,24,0,4,0,26,30,0,255,237,0,18,255,255,30,0,255,241,255,255,0,90,35,0
80,10187728,0,50,0,22,255,245,0,138,36,0,0,24,0,4,0,26,30,0,255,237,0,0,0,6,31,0,255,241,0,0,0,114,35,0
85,10198728,0,50,0,22,255,245,0,138,36,0,0,25,0,23,0,39,30,0,255,237,0,0,0,6,31,0,255,241,0,0,0,114,35,0
90,10209728,0,50,0,22,255,245,0,138,36,0,0,25,0,23,0,39,30,0,255,237,0,0,0,3,31,0,255,241,0,0,0,137,35,0
95,10221051,0,50,0,19,255,214,0,113,36,0,0,27,0,52,0,1,30,0,255,237,255,254,0,15,31,0,255,240,0,0,0,158,35,0
