TimeStep,Elapsed_us,L_Gait_Index,R_Gait_Index,RH_0,RH_1,RH_2,RH_3,RH_4,RH_5,RH_6,RH_7,RK_0,RK_1,RK_2,RK_3,RK_4,RK_5,RK_6,RK_7,LK_0,LK_1,LK_2,LK_3,LK_4,LK_5,LK_6,LK_7,LH_0,LH_1,LH_2,LH_3,LH_4,LH_5,LH_6,LH_7
0,10011585.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,27.0,0.0,255.0,210.0,0.0,0.0,0.0,0.0,27.0,0.0,255.0,252.0,0.0,0.0,0.0,0.0,32.0,0.0
5,10022728.0,0.0,50.0,0.0,23.0,0.0,0.0,0.0,1.0,33.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,27.0,0.0,255.0,210.0,0.0,0.0,0.0,0.0,27.0,0.0,255.0,252.0,0.0,0.0,0.0,0.0,32.0,0.0
10,10033832.0,0.0,50.0,0.0,20.0,255.0,207.0,0.0,64.0,33.0,0.0,0.0,22.0,255.0,243.0,0.0,86.0,28.0,0.0,255.0,214.0,0.0,76.0,0.0,136.0,28.0,0.0,255.0,252.0,0.0,0.0,255.0,254.0,32.0,0.0
15,10044726.0,0.0,50.0,0.0,20.0,255.0,207.0,0.0,64.0,33.0,0.0,0.0,22.0,255.0,243.0,0.0,86.0,28.0,0.0,255.0,214.0,0.0,76.0,0.0,136.0,28.0,0.0,255.0,252.0,0.0,0.0,255.0,254.0,32.0,0.0
20,10055728.0,0.0,50.0,0.0,19.0,255.0,255.0,0.0,132.0,33.0,0.0,0.0,21.0,255.0,250.0,0.0,80.0,28.0,0.0,255.0,218.0,0.0,69.0,0.0,74.0,28.0,0.0,255.0,252.0,255.0,254.0,255.0,242.0,32.0,0.0
25,10066728.0,0.0,50.0,0.0,19.0,255.0,255.0,0.0,132.0,33.0,0.0,0.0,21.0,255.0,250.0,0.0,80.0,28.0,0.0,255.0,218.0,0.0,69.0,0.0,74.0,28.0,0.0,255.0,252.0,255.0,254.0,255.0,242.0,32.0,0.0
30,10077726.0,0.0,50.0,0.0,19.0,255.0,255.0,0.0,126.0,33.0,0.0,0.0,21.0,255.0,253.0,0.0,58.0,28.0,0.0,255.0,224.0,0.0,95.0,0.0,30.0,28.0,0.0,255.0,250.0,255.0,221.0,255.0,221.0,32.0,0.0
35,10088728.0,0.0,50.0,0.0,19.0,255.0,255.0,0.0,126.0,33.0,0.0,0.0,21.0,255.0,253.0,0.0,58.0,28.0,0.0,255.0,224.0,0.0,95.0,0.0,30.0,28.0,0.0,255.0,250.0,255.0,221.0,255.0,221.0,32.0,0.0
40,10099726.0,0.0,50.0,0.0,19.0,255.0,249.0,0.0,115.0,33.0,0.0,0.0,21.0,255.0,253.0,0.0,58.0,28.0,0.0,255.0,229.0,0.0,77.0,0.0,3.0,28.0,0.0,255.0,248.0,255.0,233.0,0.0,29.0,32.0,0.0
45,10111050.0,0.0,50.0,0.0,19.0,255.0,249.0,0.0,115.0,33.0,0.0,0.0,22.0,0.0,3.0,0.0,24.0,28.0,0.0,255.0,233.0,0.0,55.0,0.0,19.0,28.0,0.0,255.0,245.0,255.0,210.0,0.0,11.0,33.0,0.0
