TimeStep,Elapsed_us,L_Gait_Index,R_Gait_Index,RightHip_pos_deg,RightHip_spd_eRPM,RightHip_spd_mech_RPM,RightHip_current_A,RightHip_temp_C,RightHip_err_code,RightHip_err_text,RightKnee_pos_deg,RightKnee_spd_eRPM,RightKnee_spd_mech_RPM,RightKnee_current_A,RightKnee_temp_C,RightKnee_err_code,RightKnee_err_text,LeftKnee_pos_deg,LeftKnee_spd_eRPM,LeftKnee_spd_mech_RPM,LeftKnee_current_A,LeftKnee_temp_C,LeftKnee_err_code,LeftKnee_err_text,LeftHip_pos_deg,LeftHip_spd_eRPM,LeftHip_spd_mech_RPM,LeftHip_current_A,LeftHip_temp_C,LeftHip_err_code,LeftHip_err_text
0,10011585,0,50,0.0,0.0,0.0,0.0,0,0,OK,2.3,0.0,0.0,0.0,27,0,OK,-4.6,0.0,0.0,0.0,27,0,OK,-0.4,0.0,0.0,0.0,32,0,OK
5,10022728,0,50,2.3,0.0,0.0,0.01,33,0,OK,2.3,0.0,0.0,0.0,27,0,OK,-4.6,0.0,0.0,0.0,27,0,OK,-0.4,0.0,0.0,0.0,32,0,OK
10,10033832,0,50,2.0,-490.0,-23.333,0.64,33,0,OK,2.2,-130.0,-6.19,0.86,28,0,OK,-4.2,760.0,36.19,1.36,28,0,OK,-0.4,0.0,0.0,-0.02,32,0,OK
15,10044726,0,50,2.0,-490.0,-23.333,0.64,33,0,OK,2.2,-130.0,-6.19,0.86,28,0,OK,-4.2,760.0,36.19,1.36,28,0,OK,-0.4,0.0,0.0,-0.02,32,0,OK
20,10055728,0,50,1.9,-10.0,-0.476,1.32,33,0,OK,2.1,-60.0,-2.857,0.8,28,0,OK,-3.8,690.0,32.857,0.74,28,0,OK,-0.4,-20.0,-0.952,-0.14,32,0,OK
25,10066728,0,50,1.9,-10.0,-0.476,1.32,33,0,OK,2.1,-60.0,-2.857,0.8,28,0,OK,-3.8,690.0,32.857,0.74,28,0,OK,-0.4,-20.0,-0.952,-0.14,32,0,OK
30,10077726,0,50,1.9,-10.0,-0.476,1.26,33,0,OK,2.1,-30.0,-1.429,0.58,28,0,OK,-3.2,950.0,45.238,0.3,28,0,OK,-0.6,-350.0,-16.667,-0.35,32,0,OK
35,10088728,0,50,1.9,-10.0,-0.476,1.26,33,0,OK,2.1,-30.0,-1.429,0.58,28,0,OK,-3.2,950.0,45.238,0.3,28,0,OK,-0.6,-350.0,-16.667,-0.35,32,0,OK
40,10099726,0,50,1.9,-70.0,-3.333,1.15,33,0,OK,2.1,-30.0,-1.429,0.58,28,0,OK,-2.7,770.0,36.667,0.03,28,0,OK,-0.8,-230.0,-10.952,0.29,32,0,OK
45,10111050,0,50,1.9,-70.0,-3.333,1.15,33,0,OK,2.2,30.0,1.429,0.24,28,0,OK,-2.3,550.0,26.19,0.19,28,0,OK,-1.1,-460.0,-21.905,0.11,33,0,OK
50,10121726,0,50,1.8,-80.0,-3.81,1.37,33,0,OK,2.2,30.0,1.429,0.24,28,0,OK,-2.3,550.0,26.19,0.19,28,0,OK,-1.1,-460.0,-21.905,0.11,33,0,OK
55,10132831,0,50,1.8,-10.0,-0.476,1.22,33,0,OK,2.2,0.0,0.0,0.0,28,0,OK,-2.2,40.0,1.905,0.5,28,0,OK,-1.3,-360.0,-17.143,0.34,33,0,OK
60,10143728,0,50,1.8,-10.0,-0.476,1.22,33,0,OK,2.2,0.0,0.0,0.0,28,0,OK,-2.2,40.0,1.905,0.5,28,0,OK,-1.3,-360.0,-17.143,0.34,33,0,OK
65,10154728,0,50,1.7,-120.0,-5.714,0.99,33,0,OK,2.2,0.0,0.0,0.2,28,0,OK,-2.1,120.0,5.714,0.11,28,0,OK,-1.4,-30.0,-1.429,0.88,32,0,OK
70,10165728,0,50,1.7,-120.0,-5.714,0.99,33,0,OK,2.2,0.0,0.0,0.2,28,0,OK,-2.1,120.0,5.714,0.11,28,0,OK,-1.4,-30.0,-1.429,0.88,32,0,OK
75,10176728,0,50,1.6,-60.0,-2.857,1.25,33,0,OK,2.2,60.0,2.857,0.29,28,0,OK,-2.1,0.0,0.0,-0.15,28,0,OK,-1.4,-10.0,-0.476,1.18,33,0,OK
